
 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 65.519   |   MET | aview_typ_25c | 
     |                               instr_de_reg[29]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 66.652   |   MET | aview_typ_25c | 
     |                                     4_reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 69.246   |   MET | aview_typ_25c | 
     |                                     4_reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 70.861   |   MET | aview_typ_25c | 
     |                                     1_reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg9 | 70.960   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg2 | 71.156   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg8 | 71.465   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 71.465   |   MET | aview_typ_25c | 
     |                                     0_reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 71.483   |   MET | aview_typ_25c | 
     |                                instr_de_reg[1]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 71.565   |   MET | aview_typ_25c | 
     |                                     3_reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 71.684   |   MET | aview_typ_25c | 
     |                                     2_reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg0 | 71.765   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 72.021   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 72.399   |   MET | aview_typ_25c | 
     |                                instr_de_reg[5]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg3 | 72.559   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg5 | 73.064   |   MET | aview_typ_25c | 
     |                                       _reg[29]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg7 | 73.064   |   MET | aview_typ_25c | 
     |                                       _reg[29]/D f |          |       |               | 
